Company,Question
TCS,Q. What are the roles and responsibilities of the Office of Foreign Assets Control (OFAC) and the Bank Secrecy Act (BSA) in financial regulations?
TCS,Q. What are the different ways to utilize services in Angular?
TCS,Q. Write a program to find prime numbers.
TCS,Q. What is the difference between Ngrx and RxJS?
TCS,Q. Write a trigger that updates ratings on an account when an opportunity is closed.
TCS,Q. Why do you want to work at TCS?
TCS,Q. Explain REST and RESTful APIs.
TCS,"Q. In React, what hooks have you used?"
TCS,Q. Are you able to travel 40 km to the office every day?
TCS,Q. What is a string?
TCS,"Q. For a technical interview round for freshers, is knowledge of core Java (or another language), one backend framework, and JavaScript sufficient?"
TCS,Q. What are the basics of programming languages?
TCS,Q. What motivated you to choose TCS despite having an Electronics and Communications Engineering (ECE) background?
TCS,Q. What is the difference between a budget and a forecast?
TCS,Q. How do you define zero-based forecasting?
TCS,Q. What is the accrual concept in accounting?
TCS,Q. Do you know how to prepare an MIS report?
TCS,Q. Write a program for string manipulation.
TCS,Q. What are the SOLID design principles?
TCS,Q. What is an RxJS operator?
TCS,Q. What are RxJS and NgRx?
TCS,Q. Write a Java function to reverse a string using recursion.
TCS,Q. What do you know about caching?
TCS,"Q. Write a program in Java 8 to identify the employee with the maximum salary, given an Employee class with name, id, and salary parameters."
TCS,Q. What is a Singleton Design Pattern? Demonstrate an eager initialization case of Singleton.
TCS,"Q. Write a Java program to find the twisted factorial of a number, considering only prime numbers during the calculation."
TCS,"Q. Write an SQL query to identify all departments with people whose names start with the letter 'A', and print the count of such people."
TCS,"Q. Write a useEffect method to fetch data from an API, retrieve the response, and display it in a table format."
TCS,Q. What are some coding questions you might ask?
TCS,"Q. Using the given dummy table, write SQL queries demonstrating different types of JOINs."
TCS,Q. What is the difference between git pull and git merge?
TCS,Q. What is the SQL query used to update the value of 5 to the HR in the employee details table?
TCS,"Q. What applications or tools are you familiar with, what are their advantages, and are there any alternatives?"
TCS,Q. What are the golden rules of accounting and how are they applied?
TCS,Q. What is the agile model?
TCS,Q. List the different frameworks used in automation testing.
TCS,Q. What is the difference between SDLC and STLC?
TCS,Q. What are the differences between TypeScript and JavaScript?
TCS,Q. What are your basic SQL skills?
TCS,Q. Explain file provisioning.
TCS,Q. How can a deleted state file be retrieved?
TCS,Q. How do you troubleshoot issues in real time?
TCS,Q. Explain Batch Apex.
TCS,Q. What is a data type?
TCS,Q. Write code to find prime numbers.
TCS,Q. What are the reasons for your preference for TCS?
TCS,Q. Tell me about SQL commands (DML and DDL).
TCS,"Q. What are the concepts of Object-Oriented Programming, specifically polymorphism and inheritance?"
TCS,"Q. What is garbage collection in Java, and how does it work?"
TCS,Q. Write a function to reverse a string using StringBuffer.
TCS,"Q. Given a string, find the duplicate characters in the string."
Accenture,Q. Explain vendor query management.
Accenture,Q. What is the difference between procurement and supply chain management?
Accenture,Q. How do you provide your ideas for process improvements?
Accenture,Q. What are the differences between a HashMap and a HashSet?
Accenture,Q. Tell me about your experience building proposals.
Accenture,Q. How do you ensure accuracy and efficiency in your communication with customers?
Accenture,Q. What are the key concepts of Object-Oriented Programming (OOP)?
Accenture,Q. In which testing phase is traceability prepared?
Accenture,Q. What is the STLC cycle?
Accenture,Q. Describe the SOLID principles.
Accenture,Q. What is an IRA?
Accenture,Q. What is a Roth IRA?
Accenture,Q. What is DC?
Accenture,Q. What is Java?
Accenture,Q. What is the role of HR?
Accenture,Q. What is human resource management?
Accenture,"Q. What DevOps tools do you use, especially for web configuration?"
Accenture,Q. Explain the reports generated from the Cucumber framework.
Accenture,Q. What is the purpose of a data model?
Accenture,Q. What are five skills that could help improve our business?
Accenture,Q. What is microservices architecture?
Accenture,Q. What are the differences between sales products in B2B (business-to-business) and B2C (business-to-consumer) markets?
Accenture,Q. How to choose soap v/s rest
Accenture,Q. How can you raise a query for UAT?
Accenture,"Q. What are DNS and DHCP, and what are their respective functions?"
Accenture,Q. What VPN and VDI solutions are utilized?
Accenture,Q. What is the end-to-end sales process?
Accenture,Q. What is reconciliation in banking?
Accenture,Q. What is the role of a bank operations officer?
Accenture,Q. What are the different types of accounts offered by banks?
Accenture,Q. What are the key steps involved in clearing a cheque?
Accenture,Q. What is the practical test that follows your process?
Accenture,Q. What do you know about MS Excel?
Accenture,Q. What are the key differences between Waterfall and Agile methodologies?
Accenture,"Q. What is the Software Development Lifecycle, and can you provide examples of its various phases?"
Accenture,Q. What are some common error codes you have encountered?
Accenture,Q. Can you describe the end-to-end process?
Accenture,Q. What are materialized views?
Accenture,Q. What is the incident management flow?
Accenture,Q. What is CPM password rotation?
Accenture,Q. Where are PSM recordings saved?
Accenture,Q. Define end-to-end process.
Accenture,Q. What are your skills and experiences with tools such as Linux at the server level and ServiceNow?
Accenture,Q. What is your knowledge regarding Linux administration and your hands-on experience in server management?
Accenture,Q. What are some fundamental principles of accounting?
Accenture,Q. Write a recursive function to calculate the factorial of a given number.
Accenture,Q. Write a program to print an inverted triangle pattern.
Accenture,Q. Tell me about your experience in analytics and reporting.
Accenture,Q. What are the different Java interfaces?
Accenture,Q. Explain the concepts of OOPS.
Accenture,Q. What is the central limit theorem?
Accenture,Q. What are the assumptions of Linear Regression?
Accenture,Q. What is pricing?
Accenture,Q. Explain the entire Procure-to-Pay (P2P) cycle process.
Accenture,"Q. How does finance operate within the IT sector, and what is its impact?"
Accenture,Q. Explain the principles of data architecture.
Accenture,Q. Explain slow changing dimensions.
Accenture,Q. How do you perform error handling in your project?
Accenture,"Q. What is the difference between the tJava, tJavaRow, and tJavaFlex components in Talend?"
Accenture,Q. Is Java the primary language you use?
Accenture,Q. How would you handle conflict in the workplace?
Accenture,Q. What are transitional requirements?
Accenture,Q. How would you debug a Spark application?
Accenture,Q. What is method overloading and overriding?
Accenture,Q. Explain one case study.
Accenture,Q. How do you approach problem-solving?
Accenture,Q. How do you test design solutions?
Accenture,Q. What are the different types of OData queries?
Accenture,Q. What are the different types of enhancements and how are they used?
Accenture,Q. How do you swap two numbers without using a temporary variable?
Accenture,Q. What does the accrual concept of accounting state?
Accenture,Q. What is the difference between budgeting and forecasting?
Accenture,Q. How can duplicate invoices be identified?
Accenture,Q. Can you explain your knowledge of processes?
Accenture,Q. Tell me about your favorite and least favorite parts of computer science.
Accenture,"Q. What is Selenium Grid, and how is it used in software testing?"
Accenture,"Q. What is the difference between the methods ""findElement"" and ""findElements""?"
Accenture,Q. What are your preferred work locations?
Accenture,Q. What is bookkeeping?
Accenture,Q. Explain the order-to-cash cycle in detail.
Accenture,Q. Discuss your projects or achievements.
Accenture,Q. We will not be providing any leaves for the next six months. Are you comfortable with that?
Accenture,Q. How do you select different tabs in Tosca?
Accenture,Q. What is the difference between functional and non-functional testing?
Accenture,Q. Why did you choose agile methodologies?
Accenture,Q. What are the types of entries?
Accenture,Q. What is the need for bookkeeping?
Accenture,Q. What are application servers?
Accenture,Q. What are the attributes of accounti6?
Accenture,Q. What is summarization?
Accenture,Q. What is Microsoft SQL Server?
Accenture,Q. What is SQL Server?
Accenture,Q. What is the lifecycle of a CSV file within an enterprise system like SAP?
Accenture,Q. What deliverables are necessary to retire a system?
Accenture,Q. Please explain the Change management process?
Accenture,Q. Are you able to carry and set up desktops?
Accenture,Q. How do you perform thick client penetration testing?
Accenture,"Q. Given two sorted arrays, merge them into a single sorted array."
Accenture,Q. Explain the rank function and a scenario where it would be used.
Accenture,Q. What is SCD and what are its types?
Wipro,Q. What is the role of GenAI in RPA?
Wipro,Q. How will GenAI change the RPA developer role?
Wipro,Q. Tell us about semantic elements.
Wipro,Q. What is a service?
Wipro,Q. Explain authentication and authorization.
Wipro,Q. How do you manage multiple APIs in Angular?
Wipro,"Q. Have you used any third-party libraries? If so, how did you implement them in your project?"
Wipro,Q. What is the box model?
Wipro,Q. How do you handle errors?
Wipro,Q. What is hoisting? Explain with an example.
Wipro,Q. What are HTTP interceptors?
Wipro,Q. What is git compare?
Wipro,Q. How do you manage multiple APIs in Angular?
Wipro,Q. How do components interact with each other?
Wipro,Q. What is NgRx?
Wipro,Q. What is hoisting? Explain with an example.
Wipro,Q. What is the difference between an observable and a promise?
Wipro,Q. Where is it appropriate to use git rebase?
Wipro,Q. Tell us about semantic elements.
Wipro,Q. What is a MAC address?
Wipro,Q. What are the negative aspects of working at Wipro?
Wipro,Q. What is content moderation?
Wipro,Q. What is the full form of PIN?
Wipro,Q. What are communication fundamentals?
Wipro,Q. What does a company use?
Wipro,Q. Explain the logic behind determining if a number is prime.
Wipro,Q. How do you convince an irate and critical customer?
Wipro,Q. What are some examples of real-time frauds that occur in daily life?
Wipro,Q. What steps would you take to mitigate payment fraud?
Wipro,Q. How is Weblogic used?
Wipro,Q. Write a Java program to sort an array and find the largest element.
Wipro,Q. How do you iterate through a map?
Wipro,Q. Explain the Actions class.
Wipro,Q. What are the safety protocols and regulations for working at heights?
Wipro,Q. What is the method for calculating gratuity?
Wipro,Q. What are the key points to check in a pay sheet?
Wipro,"Q. What is ESG, and can you explain its pillars? ESG stands for Environmental, Social, and Governance — it's how we measure if a company is acting responsibly. The 3 Pillars: 1. Environmental: How the company ... read more"
Wipro,"Q. What backend operations are you familiar with, and can you elaborate on your experience with them?"
Wipro,Q. How do you use mapping techniques?
Wipro,Q. How do you use Google Maps?
Wipro,Q. What is deferred tax?
Wipro,Q. Explain the Saga design pattern and provide a use case.
Wipro,"Q. Why have you not included C and C++ in your resume, considering you are a computer science student and they are likely part of your curriculum?"
Wipro,Q. What are fixed assets?
Wipro,Q. What is general accounting?
Wipro,Q. How do you use the Optional class?
Wipro,Q. How would you group by department?
Wipro,Q. How can artificial intelligence be utilized in data analysis?
Wipro,Q. What is RLS?
Wipro,Q. Explain Interface with an example.
Wipro,Q. Explain sprint review and how you would correct any issues that arise during the review.
Wipro,Q. Tell me about your experience handling clients.
Wipro,Q. How can variable values be swapped in a single statement in JavaScript?
Wipro,Q. What are some technical issues?
Wipro,Q. Can you give an example of a market?
Wipro,Q. What is business?
Wipro,Q. What is a market in economics?
Wipro,Q. What are sales and marketing?
Wipro,Q. What is technical?
Wipro,Q. How can one secure a server?
Wipro,Q. How do you check system logs for errors or issues?
Wipro,Q. How would you contribute to Wipro's success?
Wipro,Q. What are the different ways of finding an element?
Wipro,Q. What are the differences between driver.close() and driver.quit()?
Wipro,Q. How do you handle product shortages and excesses?
Wipro,Q. How do you maintain inventory?
Wipro,Q. Create a function that takes a string as input and reverses it by iterating through the characters.
Wipro,Q. What is the command and syntax used to create a new user account on the system?
Wipro,Q. How can the '$?' variable be used to check if the previous command executed successfully in a Unix/Linux system?
Wipro,Q. What is the purpose of the paste command in merging lines from files horizontally?
Wipro,Q. Explain the concept of red-black trees.
Wipro,Q. What is 30% of 200?
Wipro,Q. In which scenarios can constructors be utilized?
Wipro,Q. Tell me about Wipro.
Wipro,Q. How would you approach a data migration project?
Wipro,Q. What are dictionary attributes?
Wipro,Q. What is the dictionary override rule?
Wipro,Q. What are Business Rules?
Wipro,Q. How would you fetch the last 5 recently created incidents using a background script?
Wipro,Q. How did you implement Agile methodologies in your project?
Wipro,Q. What are the key components in ADF?
Wipro,Q. What is a function in Python?
Wipro,Q. What is decision making and conditional execution in programming?
Wipro,Q. What is VPC and can you explain it?
Wipro,Q. What is the difference between SG and NaCl?
Wipro,"Q. If a computer restarts repeatedly, how would you troubleshoot this issue?"
Wipro,Q. How can you connect one PC to another without internet access?
Wipro,Q. How do you install an operating system?
Wipro,Q. What is network topology?
Wipro,Q. What is BSOD?
Wipro,Q. What is the difference between the internet and a network?
Wipro,Q. What is the difference between RAM and a Processor?
Wipro,"Q. Given two strings, write code to determine if one is a permutation of the other."
Wipro,Q. How do you solve customer problems?
Wipro,Q. What are the practical uses of maps in real-life situations?
Wipro,Q. What is the OEE?
Wipro,Q. What is the 5S methodology?
Wipro,Q. How many years have you worked at this company?
Wipro,Q. What is KNN in ML?
Wipro,"Q. What is a dashboard, and what purpose does it serve?"
Cognizant,Q. What is the selection process?
Cognizant,Q. What is human resources (HR)?
Cognizant,Q. What do you know about Digital Marketing?
Cognizant,Q. What are the differences between analog and digital circuits?
Cognizant,"Q. What financial metrics do you think are most important for evaluating company performance, and why?"
Cognizant,Q. How would you handle a situation where financial data is incomplete or inaccurate?
Cognizant,Q. Explain the OOPs concepts with examples.
Cognizant,Q. Why are we moving to modern data warehousing?
Cognizant,Q. What is the process for performing parallel testing in Selenium?
Cognizant,Q. What are the key concepts of Object-Oriented Programming (OOP)?
Cognizant,"Q. What is Principal Component Analysis (PCA), and how does it work?"
Cognizant,"Q. Why is feature selection necessary, and what is the process by which it operates?"
Cognizant,Q. How does Retrieval-Augmented Generation work in Generative AI?
Cognizant,Q. What is RAM?
Cognizant,Q. What do you know about software development?
Cognizant,Q. What are your extracurricular activities?
Cognizant,Q. How do you handle difficult customers?
Cognizant,Q. What is the Singleton design pattern?
Cognizant,Q. How does a Hashmap work internally?
Cognizant,Q. What is your level of product knowledge?
Cognizant,Q. How do you handle null safety?
Cognizant,Q. What is a gateway in a transaction cycle?
Cognizant,Q. What is the transaction cycle?
Cognizant,Q. What is the role of an acquirer processor in payment transactions?
Cognizant,Q. What are the differences between an interface and an abstract class in OOP?
Cognizant,Q. What is a dangling pointer?
Cognizant,Q. Can you explain memory leaks?
Cognizant,Q. Can you provide an example?
Cognizant,Q. What is vulnerability assessment?
Cognizant,Q. What does a SOC analyst do?
Cognizant,"Q. What is the Citrix enumeration process related to XenApp, and how does it involve NetScaler?"
Cognizant,Q. What is the process for upgrading Citrix Provisioning Services (PVS) vDisk?
Cognizant,Q. What is the difference between a foreach loop and a for loop?
Cognizant,Q. What are disaster recovery strategies?
Cognizant,Q. What are Ansible modules?
Cognizant,Q. What is Terraform data?
Cognizant,Q. How do you integrate LWC with Apex?
Cognizant,Q. What is an IT system?
Cognizant,Q. What is the definition of malware?
Cognizant,Q. What is meant by an attack?
Cognizant,Q. What does SIEM stand for and what is its significance?
Cognizant,Q. What is meant by ransomware?
Cognizant,Q. What knowledge do you have regarding insurance?
Cognizant,Q. How do you perform logging?
Cognizant,Q. Explain depreciation entries and calculations.
Cognizant,Q. Why is Selenium the most popular testing tool?
Cognizant,Q. What are mouse actions?
Cognizant,Q. Explain the difference between findElement and findElements.
Cognizant,Q. What is an XPath locator?
Cognizant,Q. What do you mean by encapsulation?
Cognizant,Q. What are the differences between supervised and unsupervised learning?
Cognizant,Q. What is the difference between a rigid Agile model and a flexible Agile model?
Cognizant,Q. What details are required to create a JMeter script?
Cognizant,Q. Tell me about inheritance with an example.
Cognizant,Q. Write a program to determine if a given year is a leap year.
Cognizant,Q. Tell me about polymorphism with an example.
Cognizant,Q. What do you know about lease accounting?
Cognizant,Q. Tell me briefly about your experience in your last company.
Cognizant,Q. Explain what an executable file is.
Cognizant,Q. What is a thread pool?
Cognizant,Q. What is StringBuffer?
Cognizant,Q. What is workers' compensation?
Cognizant,Q. What are the payer guidelines?
Cognizant,Q. What is the process of reconciling balance sheet accounts?
Cognizant,Q. Can you describe a tricky SQL question you have encountered?
Cognizant,Q. What is the transformer architecture in the context of natural language processing?
Cognizant,Q. What are SOAP notes?
Cognizant,Q. What does a medical scribe do?
Cognizant,Q. What is XML?
Cognizant,Q. What is a marker interface?
Cognizant,Q. What is JWT authorization?
Cognizant,Q. How do you improve team performance?
Cognizant,Q. What is the difference between Selenium 3.141.59 and Selenium 4?
Cognizant,"Q. How do you copy an OTP from one browser, navigate to another browser, and paste it?"
Cognizant,Q. How do you handle calendar popups using Selenium?
Cognizant,Q. How would you handle a difficult customer?
Cognizant,Q. What is the procedure for configuring Snowpipe?
Cognizant,Q. What are the advantages of using Snowflake compared to other cloud data warehouses?
Cognizant,Q. Write a Java code snippet demonstrating the use of try-catch blocks.
Cognizant,Q. Write Python code to catch an exception.
Cognizant,Q. Write Java code using conditional statements to print prime numbers.
Cognizant,"Q. Write a program to print ""hello world"" to the output screen."
Cognizant,Q. Write Python code to swap a 3x3 matrix.
Cognizant,Q. How do you find the greatest number from an array?
Cognizant,Q. How would you handle the existing Lex bit issue?
Cognizant,Q. What are the key components of AWS Lex?
Cognizant,Q. What is AWS infrastructure and its key components?
Cognizant,Q. Implement a custom LinkedList.
Cognizant,Q. How do you handle transactions in a Microservices Architecture?
Cognizant,Q. What is a circuit breaker?
Cognizant,"Q. What are the differences between JDK, JVM, and JRE?"
Cognizant,Q. What are React lifecycle methods?
Cognizant,Q. What do you know about Testing?
Cognizant,Q. Explain how you would test this object.
Cognizant,Q. How can we improve the Click-Through Rate (CTR)?
Cognizant,Q. What is the formula for CPM?
Cognizant,Q. What are attribution models?
Cognizant,Q. What are your basic ideas about how to communicate with clients?
Cognizant,Q. How is a hashmap implemented internally?
Cognizant,Q. How do you use custom permissions in LWC?
Capgemini,Q. Write a program to print prime numbers from 1 to 100.
Capgemini,Q. How do you communicate between Microservices?
Capgemini,Q. Can you explain your college projects?
Capgemini,Q. What are derivatives in the context of calculus?
Capgemini,Q. How would you address a situation where someone is denying their productivity?
Capgemini,Q. What coding languages are you well-versed in?
Capgemini,Q. Could you elaborate on the functionality of the system?
Capgemini,Q. What is your experience with Selenium and Java?
Capgemini,Q. Write an SQL query to find the second highest salary from an employee table.
Capgemini,Q. What do you know about machine learning?
Capgemini,"Q. What is a tuple in Python, and is it mutable?"
Capgemini,Q. What is React?
Capgemini,Q. Find the first non-repeating character using Java 8.
Capgemini,Q. What will you do if you find a bug in production?
Capgemini,Q. How do you perform testing without test cases?
Capgemini,"Q. What is the defect life cycle, and explain defect priority and severity?"
Capgemini,Q. Write SQL queries demonstrating the use of GROUP BY and HAVING clauses.
Capgemini,"Q. Given a dataset with columns name, subject and marks, return the name of students with marks greater than 40. Sample data: A maths 56, A science 34, B maths 45, B science 98. Expected output: B"
Capgemini,Q. What is the difference between a compiler and an interpreter?
Capgemini,Q. What is machine language?
Capgemini,Q. Tell me about C++.
Capgemini,Q. Briefly describe the C language.
Capgemini,Q. What is the difference between local and global variables?
Capgemini,Q. What are the differences between a single role and a derived role?
Capgemini,Q. Use of Space and page
Capgemini,Q. Explain the first-level and second-level cache in Hibernate.
Capgemini,Q. What are classes and objects?
Capgemini,Q. How do you install an operating system?
Capgemini,Q. What is the difference between SSD and HDD?
Capgemini,Q. What are the methods for enabling a Core Data Services (CDS) view for delta extraction?
Capgemini,Q. What are the steps to activate the standard Fiori application?
Capgemini,Q. What are the various types of CDS (Core Data Services) views?
Capgemini,Q. What are the steps to modify standard CDS views?
Capgemini,Q. What are the uses of AWS services?
Capgemini,Q. What is scrum practice?
Capgemini,Q. What is the Definition of Done (DoD)?
Capgemini,Q. What are the Scrum values?
Capgemini,Q. What is the function of the Standard Template Library (STL) in C++?
Capgemini,Q. What is the method to find duplicate characters in a string?
Capgemini,"Q. Given an array of numbers, find the maximum value."
Capgemini,Q. Describe the different types of waits available in Selenium.
Capgemini,Q. Write a Java function to calculate the factorial of a given number.
Capgemini,Q. Explain dependency injection with an example.
Capgemini,Q. What is involved in supplier analysis?
Capgemini,Q. What do you know about cloud infrastructure?
Capgemini,Q. What is the difference between data and a database?
Capgemini,Q. What are the key concepts of Object-Oriented Programming (OOP) in detail?
Capgemini,"Q. What is a Database Management System (DBMS), and can you explain its components and functionalities in detail?"
Capgemini,Q. Implement the Factory Design Pattern.
Capgemini,Q. Implement an Immutable Class
Capgemini,Q. What is a nominal account?
Capgemini,Q. How many golden rules are there?
Capgemini,Q. Write Java code to get the length of a string.
Capgemini,Q. How does DNS work?
Capgemini,Q. What is encapsulation?
Capgemini,Q. How do you fetch data from a database?
Capgemini,Q. What is error guessing?
Capgemini,"Q. Reverse an array, sort an array list collection."
Capgemini,Q. How do you handle accounting payments?
Capgemini,Q. What is ADF?
Capgemini,"Q. What is the maintenance process for Airbus aircraft, and what specific knowledge is required regarding Airbus systems?"
Capgemini,Q. What knowledge do you have about engines?
Capgemini,"Q. What are the transaction codes used for IDOC monitoring and retriggering, and what is the difference between WE05, WE02, and WE09?"
Capgemini,Q. How do you configure a release strategy for only the header section?
Capgemini,Q. What is the difference between Comparable and Comparator in Java?
Capgemini,"Q. Given a list of numbers, find the second largest element."
Capgemini,Q. What are your SQL basics?
Capgemini,Q. Explain the code flow.
Capgemini,Q. How would you unsort a sorted slice?
Capgemini,Q. What is the output of the following Go code?
Capgemini,Q. What are the differences between the core concepts of Object-Oriented Programming (OOP)?
Capgemini,Q. Explain the concept of inheritance with examples.
Capgemini,Q. What is the difference between runtime polymorphism and static polymorphism?
Capgemini,Q. What are the differences between threading and processes?
Capgemini,Q. What are the different phases of implementation?
Capgemini,Q. What are the different QM integrations in PP?
Capgemini,Q. What is the end-to-end cycle of PP?
Capgemini,Q. What is P2P?
Capgemini,Q. Write code to print a triangle using asterisks.
Capgemini,Q. Write code demonstrating the use of filter and map on an array of numbers.
Capgemini,Q. What is the difference between ng-content and ng-template?
Capgemini,Q. What is the difference between Observables and Promises?
Capgemini,Q. What is amortization? Can you provide some examples?
Capgemini,Q. What types of assets are never depreciated?
Capgemini,Q. Name assets that are never amortized.
Capgemini,Q. What is Goodwill? Can you provide some examples?
Capgemini,"Q. An asset with a useful life of 5 years and a value of PHONE_NUMBER is purchased. How much will the depreciation be each year? If the asset is sold within 3 years, explain the scenario and journal entries."
Capgemini,Q. What is Operating Expenditure?
Capgemini,Q. What are the Scrum ceremonies?
Capgemini,Q. What are some real-time examples of using Apache Spark?
Capgemini,Q. Explain what CI/CD is.
Capgemini,Q. What is the difference between Telecom Business Support Systems (BSS) and other related systems?
Capgemini,Q. What is the ITIL process?
Capgemini,Q. Explain the Linux booting process.
Capgemini,Q. What is Linux?
Capgemini,Q. What is reformat?
Capgemini,Q. What is a rollup?
Capgemini,Q. What is Scope Creep?
Capgemini,Q. What are the Scrum Events?
Capgemini,Q. Do you know DevOps?
HDFC Bank,Q. How would you sell our product?
HDFC Bank,Q. How do you search and join HDFC Bank data entry jobs?
HDFC Bank,Q. Tell me about your sales experience.
HDFC Bank,Q. How is your system knowledge of Excel?
HDFC Bank,Q. What is the process involved in customer sales?
HDFC Bank,Q. What strategies would you implement to scale up a business?
HDFC Bank,Q. What do you know about lending and assets?
HDFC Bank,Q. What are the key functions and services provided by banking institutions?
HDFC Bank,Q. What information can be derived from a client bank statement?
HDFC Bank,Q. How do you handle loan recovery?
HDFC Bank,Q. How do you design your framework?
HDFC Bank,Q. What are the future benefits of data entry?
HDFC Bank,Q. How many customers do you currently manage?
HDFC Bank,Q. What income target did you achieve?
HDFC Bank,Q. What is a title search?
HDFC Bank,Q. Why are you interested in sales?
HDFC Bank,Q. What technical work have you done to streamline the DBU process in banking?
HDFC Bank,Q. Briefly describe your experience handling products.
HDFC Bank,Q. How would you manage both sales and operations pressures simultaneously?
HDFC Bank,Q. How do you manage debates and disputes within a team or among other teams?
HDFC Bank,Q. What was your CTC at your previous organization?
HDFC Bank,Q. What is the purpose of analysis?
HDFC Bank,Q. What is the analysis?
HDFC Bank,"Q. What is the funding amount required for different sectors, such as services and manufacturing?"
HDFC Bank,Q. What is RTGS?
HDFC Bank,Q. What is the interest rate for a Fixed Deposit (FD)?
HDFC Bank,Q. How do you solve problems?
HDFC Bank,Q. Can you describe a challenging situation at work and how you handled it?
HDFC Bank,"Q. Why do you want to work with us, and what makes you a good fit for this role?"
HDFC Bank,Q. What is the full form of HDFC?
HDFC Bank,Q. What is Tally?
HDFC Bank,Q. Are you familiar with computer fundamentals?
HDFC Bank,Q. How do you cultivate relationships with partners to foster business growth?
HDFC Bank,Q. Why should I select you?
HDFC Bank,Q. Tell me about your academic background.
HDFC Bank,Q. What is the difference between banking and finance?
HDFC Bank,Q. What is your reason for switching organizations?
HDFC Bank,Q. What is the culture like at your company?
HDFC Bank,Q. Tell me about your knowledge of the banking sector.
HDFC Bank,"Q. Why did you leave your previous job at the bank, considering it was a sedentary position with established processes?"
HDFC Bank,Q. What is the fixed obligation to income ratio?
HDFC Bank,Q. What is CIBIL?
HDFC Bank,Q. What is Fund Transfer Pricing?
HDFC Bank,Q. What is the banking policy related to working professionals?
HDFC Bank,"Q. How would you sell insurance for a phone valued at 10,000 rupees?"
HDFC Bank,Q. How many buckets are you handling?
HDFC Bank,Q. What is the purpose of changing jobs?
HDFC Bank,Q. Can you fulfill the target within the given time?
HDFC Bank,Q. What are the best practices for handling customers?
HDFC Bank,Q. What is the process for Non-Performing Asset (NPA) customer settlement?
HDFC Bank,Q. What is the difference between a private limited company and a public limited company?
HDFC Bank,Q. How would you manage the branch?
HDFC Bank,Q. What is the source of lead generation?
HDFC Bank,Q. How do you manage your customers?
HDFC Bank,Q. What is your aim?
HDFC Bank,Q. What information is included on a share certificate?
HDFC Bank,Q. How do you communicate with customers?
HDFC Bank,Q. What is the meaning of a mortgage?
HDFC Bank,Q. What does RTC stand for?
HDFC Bank,Q. What is the meaning of EC?
HDFC Bank,Q. What is the importance of a credit score in banking?
HDFC Bank,Q. What is the difference between GROUP BY and HAVING clauses?
HDFC Bank,Q. Explain the different types of joins.
HDFC Bank,Q. Tell me about a second method for updating queries.
HDFC Bank,Q. What is the difference between a Recurring Deposit (RD) and a Fixed Deposit (FD)?
HDFC Bank,Q. What is the difference between a current account and a savings account?
HDFC Bank,Q. What is the difference between a savings account and a current account?
HDFC Bank,Q. Why are you leaving your previous company?
